hello, 안녕하세요
korea, 한국
man, 남자
woman, 여자
love, 사랑
city, 도시
name, 이름
thing, 것
chair, 의자
table, 탁자
teacher, 선생님
doctor, 의사
tree, 나무
black, 검정색
red, 빨강색
blue, 파랑색
brown, 갈색
grey, 회색
green, 녹색
white, 흰색
yellow, 노랑색
purple, 보라색
orange, 주황색
pink, 분홍색
head, 머리
eye, 눈
nose, 코
mouth, 입
leg, 다리
finger, 손가락
ear, 귀
arm, 팔
stomach, 배
sky, 하늘
name, 이름
house, 집
book, 책
coffee, 커피
school, 학교
bank, 은행
airport, 공항
hospital, 병원
park, 공원
restaurant, 강아지
cat, 고양이
rat, 쥐
puppy, 강아지
dog, 개
pig, 돼지
cow, 소
mosquito, 모기
backpack, 가방
meat, 고기
beef, 소고기
pork, 돼지고기
fever, 열
theatre, 극장
job, 직업
factory, 공장
company, 회사
passport, 여권
subway, 지하철
shy, 부끄럽다
health, 건강
healthy, 건강하다
pretty, 예쁘다
flower, 꽃
money, 돈
price, 값
peanut, 땅콩
door, 문
car, 차
towel, 수건
month, 달
day, 날
usually, 보통
face, 얼굴 
market, 시장
body, 몸
machine, 기계
memory, 기억
box, 상자
wind, 바람
tax, 세금 
homework, 숙제
sofa, 소파
china, 중국
japan, 일본
bed, 침대
that, 그
this, 이
person, 사람
yes, 네
no, 아니
please, 제발
strange, 이상하다
actor, 배우
voice, 목소리
sentence, 문장
them, 그들
noise, 소리
sound, 소리
young, 어리다
glad, 기쁘다
medicine, 약
land, 땅
underground, 지하
bread, 빵
accountant, 회계사
engineer, 엔지니어
teeth, 이
government, 정부
breath, 숨
smell, 냄새
sleep, 잠
cough, 기침
sneeze, 재채기
math, 수학
beer, 맥주
family, 가족
hat, 모자
hobby, 취미
science, 과학
scientific, 과학적
history, 역사
historical, 역사적
economy, 경제
economical, 경제적
nature, 자연
natural, 자연스럽다
culture, 문화
impulsive, 충동적
accent, 억양
debt, 빚
comb, 빗
chemistry, 화학
philosophy, 철학
leather, 가죽
crocodile, 악어
invention, 발명품
brush, 솔
toothpaste, 치약
tooth brush, 칫솔
style, 스타일
perfume, 향수
onion, 양파
socks, 양말
unfortunately, 불행하게
democracy, 민주주의
fish, 물고기
length, 길이
rope, 밧줄
input, 입력
output, 출력
cash, 현금
atm, 현금인출기
freezer, 냉동실
bib, 턱받이
son in law, 사위
daughter in law, 며느리
gentleman, 신사
lady, 숙녀
heat, 열
riot, 폭동
earthquake, 지진
spit, 침
subtitles, 자막
vice president, 부사장
communication, 의사소통
